neighborhood_slug,location_latitude,location_longitude
abbas-abad,35.72064527884993,51.444342941203445
abdol-abad,35.62748970618615,51.36457807100736
abdollah-abad,35.60616226196289,51.37729415893555
aboozar,35.7305779846541,51.328955783764386
abouzar,35.65009224175225,51.47666878937765
abshar,35.67381010789138,51.435723304748535
abshar-tehran,35.75991730770822,51.22750763973947
afsariyeh,35.64986696124665,51.49252709588489
aghdasieh,35.807185069529716,51.517012338898816
ahang,35.66435371539489,51.47681543120989
ajoodanieh,35.80736186933739,51.48450035549699
almahdi,35.77415805548338,51.32900701120359
amaniyeh,35.77994298612688,51.41958112083623
aminhozour,35.68090608384874,51.43424267239041
amir-abad,35.73088071392255,51.39079694983776
amir-bahador,35.67111752249978,51.40267666903409
amiriyeh,35.67542168858404,51.398482553537846
andisheh,35.744095459486616,51.27170160429074
araj,35.79221363309064,51.48829819884481
aramaneh,35.71973521969279,51.457633697157405
ararat,35.76997440181977,51.39807115521347
aref,35.69035189759497,51.467870749679264
arjantin,35.709748988215985,51.41133408288698
aseman,35.77789446812553,51.35544638157426
ashtiyani,35.71377352305821,51.50327137538365
atabak,35.64729329655679,51.460683312576805
azad-shahr,35.75059127667885,51.17193462732093
azadi-sport-complex,35.73648904107355,51.26055157005608
azarbaijan,35.69560746410381,51.37262701826446
azari,35.66617376954122,51.35330634510307
bagh-ferdows,35.80337427269598,51.42353453547317
bagh-feyz,35.74334685951611,51.31566532804629
bagh-khazaneh,35.66592872433546,51.37448938881478
bahar,35.711490525966504,51.43316131138604
baharan,35.76588188974481,51.278694453992344
baharestan,35.68098361547603,51.40308990404588
bahman-yar,35.63830203101748,51.419268835158576
baq-e-azari,35.65319792429606,51.424346605936684
baqerkhan,35.713860992692474,51.37125787979517
bazaar,35.671020126342775,51.41921691894531
behdasht,35.6574328728591,51.33932345530508
behjat-abad,35.72030249096098,51.41278230576288
beryanak,35.67484584348823,51.37669308506759
bisim,35.65350708594689,51.44923180800218
bolursazi,35.661348260922615,51.37872351214164
bolvar-e-keshavarz,35.71246419092368,51.40021293372439
central-janat-abad,35.74674882522512,51.3135846480457
charsad-dastgah,35.68533993765079,51.46285003055409
chitgar,35.7302810796477,51.180403361043865
chitgar-lake,35.74873171215651,51.20808763735022
chizar,35.798489174223874,51.45608287071114
dabestan,35.73868013589311,51.45554407485757
darabad,35.81581828183363,51.491620511085564
darakeh,35.80236998058501,51.383473986671085
darb-dowom,35.780954556466625,51.44233540437515
darband,35.81418395028957,51.429526908999435
dardasht,35.72749123970667,51.504008205273216
darrous,35.773480603866204,51.45462566122038
darvazeh-shemiran,35.697216905008155,51.44134347269854
darya,35.77241004993713,51.374596913655594
daryan-no,35.714146223644285,51.35967508098423
dehkade-olympic,35.71354013019138,51.278477350870766
dehqan,35.695731332857314,51.47664260864258
dezashib,35.80817503130076,51.44908014545004
dolat-abad,35.616925569768384,51.449512941705635
dolatkhah,35.619576277902105,51.34230992843647
doolab,35.66604103476314,51.460326625312604
dr-hoshyar,35.69393493560024,51.35120721755171
east-saleh-abad,35.609423319498696,51.38692982991537
east-shareq,35.711987544371176,51.464567806358346
east-tehranpars,35.74125277674703,51.54766838998117
ebn-babevayh,35.60655035291399,51.44124643537733
ebrahim-abad,35.64818675701435,51.303053635817314
eivanak,35.76061287370873,51.35566105964856
ekbatan,35.708309155324734,51.30881010598967
ekhtiyariyeh,35.785320156456415,51.460223912581284
elahiyeh,35.79132849004242,51.42632903315943
elm-o-sanat,35.74032430312212,51.51151433934502
emam-hossein,35.6839249652365,51.40570665442425
emamzade-ghasem,35.811754595331784,51.44058509634323
enqelab,35.69554090426631,51.397017751421245
eram,35.73676826766754,51.268068461521935
esfandyari,35.62905668175739,51.38355387812076
eshrat-abad,35.7041235440118,51.43816626957484
eskandari,35.68746985905865,51.3816039600764
eslam-abad,35.63931272711073,51.334641193586684
estakhr,35.7517200092693,51.55724351484697
etehad,35.73318756825825,51.559982976969884
evin,35.793371761879094,51.3917712557307
fadak,35.726182712021696,51.48122239881947
fallah,35.65739541912374,51.36428198366418
farah-abad,35.6790529191494,51.48454367312101
farahzad,35.789843797683716,51.34520173072815
farmaniyeh,35.79957921214601,51.470044928057064
fath,35.67784118652344,51.29152297973633
ferdowsi,35.69629436069064,51.4183885730498
firoozabadi,35.59444167235187,51.43490236941899
gandi,35.752469562348864,51.41308230445498
ghanat-kosar,35.75566961852252,51.52868018659512
gholhak,35.77352452378311,51.442729887588726
gisha,35.71945737007129,51.375370990957784
golab-dareh,35.820289611816406,51.43730742843063
golchin,35.657042322932064,51.36913711960251
gomrok,35.668463165185564,51.42655345582818
hafezie,35.70180414683784,51.49618126029399
haft-hoz,35.72825264772155,51.48989363905288
haftchenar,35.675768265413424,51.37014406411244
hakimiyeh,35.73640837492766,51.59622621908855
hamzeh-abad,35.59885986328125,51.42470520019531
hasan-abad-baqer-far,35.4961793082101,51.32398332868304
hasan-abad-shomali,35.736447171467105,51.3310080504999
hashem-abad,35.64359432438171,51.47202195576935
hashemi,35.685445158889614,51.35969486442268
hassan-abad,35.5806761847602,51.35020446777344
havanirooz,35.73973051907965,51.2423330075552
hekmat,35.80057790489394,51.442492213273916
heravi,35.76145042190466,51.47479265973552
hesar-booali,35.804039728073846,51.46789435734824
heshamatiyeh,35.72567035450655,51.45199737548828
hezarsang,35.80503523977179,51.379143965871705
hor-square,35.68676192771661,51.38858627265608
imam-sajjad,35.66206783718533,51.342312494913735
imamzadeh-hasan,35.663644790649414,51.36091136932373
iranshahr,35.70783052946392,51.42187140969669
jaberi,35.68356357921254,51.4524602023038
jahad,35.7324383854866,51.532950818538666
jalili,35.6499723004587,51.361794393233126
jamalzadeh,35.69647789160543,51.38955247540481
jamaran,35.81763762643066,51.45603137257733
javadiyeh,35.65318299008788,51.390310274954324
javadiyeh-tehran-pars,35.73364553794141,51.550742082321975
javanmard-e-ghasab,35.61198034519103,51.42697673890649
jey,35.676257344296104,51.350635297160075
jeyhoun,35.68678022965658,51.36506707131993
jomhouri,35.696576262212695,51.382467567661955
jordan,35.76713400207975,51.44473944825946
kamraniyeh,35.805938330735074,51.462845829473125
kan,35.76221242765101,51.279797065548784
karevan,35.611122308775435,51.494987399079086
karim-abad,35.59923028945923,51.35318112373352
kashanak,35.81851268831982,51.47790906335881
kazem-abad,35.74989727210659,51.468665106326284
khaje-nezam-molk,35.711983151245114,51.44819115261502
khak-sefid,35.74184494130999,51.56162159244366
khalij-e-fars,35.668544890774285,51.26575338764555
khani-abad,35.66311331065196,51.408699062635314
khani-abad-no,35.62769870154155,51.39073988821015
khavaran,35.66333950702472,51.45414484366609
khazaneh,35.639132024764685,51.4231534356595
kooy-e-bimeh,35.70547151565552,51.31853848695755
kooy-e-ferdos,35.71535640304859,51.32108131307432
kooye-e-hefdahom-e-shahrivar,35.66771976531498,51.29880808270166
kosar,35.663206155239,51.43671843113044
kuhak,35.72760647412968,51.243310362013204
kuy-faraz,35.79182238751974,51.3648418644614
kuy-nobonyad,35.78330001831055,51.48458633422852
lavizan,35.76769170246748,51.501241503512304
mahmoodiyeh,35.79530156566168,51.412337959475266
majid-abad,35.75462273570979,51.54406264117945
majidiyeh,35.73644187069958,51.46557673483953
makhsous,35.67796645644149,51.38868553962933
malek-abad,35.61875534057617,51.43026351928711
mansouriyeh,35.60396304660373,51.436264545050065
marzdaran,35.734945732435094,51.342395521600835
masoudieh,35.6319626414911,51.496551528723664
mehrabad-airport,35.6875,51.317647552490236
mina,35.673274529946816,51.45158257355561
minabi,35.652693014878494,51.45695121471698
mirdamad,35.75781264709117,51.438280146878476
mobarak-abad-e-beheshti,35.55334316908255,51.39365599141318
molavi,35.66499093132959,51.42299577216028
moniriyeh,35.68159734109716,51.40150137137955
moqadam,35.65766089303153,51.37374977838425
morad-abad,35.785580952962235,51.33155473073324
moshiriyeh,35.61976565694833,51.48378123216493
motahari,35.719474117215185,51.42159553771693
nabi-akram,35.681934064626695,51.47680050253868
narmak,35.7338130965299,51.49895744334715
nazi-abad,35.637357636425634,51.40429754087421
nejatollahi,35.70800727553382,51.41620027797546
nemat-abad,35.628421595992855,51.35248531463398
nezam-abad,35.70857103517961,51.45685320473126
niavaran,35.805928261800744,51.46034323295124
niloufar,35.73581568694239,51.43808588629277
niroo-havayi,35.70096517397354,51.482441190737156
north-janat-abad,35.770579228237565,51.307170005038216
north-karegar,35.718409918154265,51.39302738284768
north-shahran,35.75395479900616,51.300493094103565
north-sohrevardi,35.704037192738504,51.445763883186714
nosrat,35.70563768738901,51.38579202719768
oghaf,35.73916145885201,51.509487212848306
ostad-moein,35.691920848626786,51.34272564258109
ozgol,35.80092176601751,51.47421370914118
pamenar,35.68241945902506,51.42638270060221
parastar,35.687217955775,51.484427573239756
parvaz,35.78632666847923,51.3562516299161
pasdaran,35.770405505003104,51.45602039291139
pirouzi,35.688557739878455,51.47874156128752
poonak,35.757788067575035,51.329710013145394
qalamestan,35.67149881216196,51.39719967964368
qasemabad,35.70674492331112,51.47222675996668
qasr-e-firoozeh-yek,35.66955820719401,51.51337432861328
qeytariyeh,35.79116182234612,51.44615623520988
qezel-qaleh,35.72849567958287,51.39310847691127
qiam,35.668244255913635,51.440643027976705
qiamdash,35.524135719646104,51.64569213173606
qoba,35.76202656963084,51.44861617890915
saadat-abad,35.77897514731671,51.37380468882155
sabalan,35.72366361208315,51.46286296364113
sad-dastgah,35.68973291377157,51.47117606937262
sadeghiyeh,35.719034228408546,51.34024431349923
saeed-abad,35.65979358583788,51.260160057042356
safaiye,35.60692996978759,51.44638538360596
saheb-al-zaman,35.67456619272743,51.46719974755613
salamat,35.67586380910635,51.38392774854868
sanglaj,35.672707840654155,51.41217171681566
sar-asiyab-mehr-abad,35.670807486488705,51.32991842996506
sarasiab-doolab,35.678944944956946,51.461430483015754
sarsabil,35.68821311505776,51.374019737959436
sarsabz,35.72736954357102,51.497392598720474
sartakht,35.59225673078948,51.43337976899945
sattarkhan,35.71952665489138,51.35840095636499
sazamn-barnameh,35.7293255292772,51.30024563824689
sazman-ab,35.73802573539194,51.289775206905894
sepehr,35.7685261026802,51.3557269594837
seyed-khandan,35.74695042454919,51.45443959790607
shabiri,35.66763856099216,51.355845579424624
shadabad,35.65943894562898,51.30309493453415
shadman,35.68852496013961,51.34368706815069
shahadat,35.613713493653684,51.446362155471256
shaharak-e-esteqlal,35.69727945327759,51.23617649078369
shaharak-e-moslemin,35.65102552209196,51.32274978551488
shaharak-e-sharifi,35.62455368041992,51.3374277750651
shaharak-e-shariyati,35.63464906550222,51.376804152902494
shahed,35.672638185562626,51.476902131111395
shahid-asadi,35.70095491244306,51.45439693424528
shahid-avini,35.58432802946671,51.42744777513587
shahid-borujerdi,35.638949394226074,51.469711780548096
shahid-dastgheyb,35.686728068760466,51.3492755435762
shahid-navab-safavi,35.687904407185854,51.35799745838669
shahin,35.76085906650709,51.31231321251911
shahr-e-ziba,35.74578450515816,51.289409577999386
shahrak-daneshgah-tehran,35.68970012664795,51.19023863474528
shahrak-daneshgahi,35.724361419677734,51.19702911376953
shahrak-e-aboozar,35.61846576266819,51.35556225246853
shahrak-e-apadana,35.70066706339518,51.324411604139534
shahrak-e-azadi,35.71030720797452,51.274514805186875
shahrak-e-cheshmeh,35.74899986272047,51.259824278139305
shahrak-e-darya,35.67611912318638,51.228442600795205
shahrak-e-emamkhomeyni,35.65664768218994,51.31224870681763
shahrak-e-ferdows,35.66447688010802,51.32729809399111
shahrak-e-gharb,35.76152788546219,51.37067576539996
shahrak-e-ghazali,35.73256206512451,51.16322326660156
shahrak-e-jandarmeri,35.73417307348812,51.35455097031011
shahrak-e-kianshahr,35.63785493033273,51.44861795334589
shahrak-e-koohsar,35.78145344510992,51.33378063770051
shahrak-e-mahalati,35.80540255496376,51.518928126284955
shahrak-e-omid,35.762332098824636,51.532042912074495
shahrak-e-parvaz,35.72570076930755,51.306544918934904
shahrak-e-takhti,35.62744867673484,51.41462699999519
shahrak-e-taleghani,35.65932288327732,51.26502490018177
shahrak-e-vali-e-asr,35.6457956191801,51.339640906700716
shahrak-e-vilashahr,35.72691774368286,51.17817258834839
shahrak-farhangian,35.71202754974365,51.284738540649414
shahrak-golha,35.80417469569615,51.49762535095215
shahrak-naft,35.80731514264952,51.50590205642412
shahrak-naft-district5,35.783897355023555,51.33601478127872
shahrak-pasdaran,35.69840120014391,51.25597642597399
shahrak-shahid-bagheri,35.761144966914735,51.203233850413355
shahrak-valfajr,35.745905558268234,51.39310624864366
shams-abad,35.74860188389651,51.47730150507346
shamshiri,35.67151517386389,51.3395271493931
sharara,35.68396430715987,51.395027378258945
sharif,35.753508297902236,51.1462348722062
sharifabad,35.227621398653305,51.79166863577707
shemiran-no,35.75304379875277,51.49656634860568
sheykh-al-raeis,35.69585124703657,51.45226310789053
sheykh-hadi,35.69061290643155,51.40190408168695
shian,35.70008895510719,51.54470143999372
shirazi,35.74724658330282,51.399452209472656
shiva,35.67977050372532,51.46961086420786
shokoofeh,35.68230847880355,51.4495349442983
shoosh,35.654283970835394,51.44073620731206
sirous,35.67168045043945,51.4325890974565
sizdah-aban,35.60588701014237,51.41297565041851
sohanak,35.795938549668996,51.53268760059594
soleymani,35.672675231731574,51.36281942325897
soleymanieh,35.67912574041457,51.453660692487446
sorkhe-hesar,35.71766916910807,51.53592427571615
south-ali-abad,35.62655728105186,51.421283887780234
south-deylaman,35.60273723865445,51.433239759933485
south-janat-abad,35.74539449513569,51.30638483141584
south-mehrabad,35.673780603611725,51.33680737272222
south-narmak,35.717634068613684,51.4892338089
